WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.6300684333 -43.6346021833),140488,1781029,50257,"80 Hobbs Road, Methven",80,80,,Hobbs Road,Methven,Ashburton District,Hobbs Road,"80 Hobbs Road, Methven",Methven,171.630068433,-43.6346021833
POINT (171.6377184 -43.6286793167),140554,1781005,54090,"140 Forest Drive, Methven",140,140,,Forest Drive,Methven,Ashburton District,Forest Drive,"140 Forest Drive, Methven",Methven,171.6377184,-43.6286793167
POINT (171.7355808667 -43.8805328),143542,1780716,319246,"45 Farm Road, Allenton, Ashburton",45,45,,Farm Road,Allenton,Ashburton District,Farm Road,"45 Farm Road, Allenton, Ashburton",Allenton,171.735580867,-43.8805328
POINT (171.7426811333 -43.9002567333),144382,3005448,38081,"17 Burnett Street, Ashburton",17,17,,Burnett Street,Ashburton,Ashburton District,Burnett Street,"17 Burnett Street, Ashburton",Ashburton,171.742681133,-43.9002567333
POINT (171.74219975 -43.8956100333),144390,3002089,31103,"18 Oak Grove, Ashburton",18,18,,Oak Grove,Ashburton,Ashburton District,Oak Grove,"18 Oak Grove, Ashburton",Ashburton,171.74219975,-43.8956100333
POINT (171.74259485 -43.89567015),144598,3066714,32477,"6 Wills Street, Ashburton",6,6,,Wills Street,Ashburton,Ashburton District,Wills Street,"6 Wills Street, Ashburton",Ashburton,171.74259485,-43.89567015
POINT (171.7538416167 -43.8880755667),145290,1780720,45919,"81 Belt Road, Allenton, Ashburton",81,81,,Belt Road,Allenton,Ashburton District,Belt Road,"81 Belt Road, Allenton, Ashburton",Allenton,171.753841617,-43.8880755667
POINT (171.7479645667 -43.9044751833),145517,3001995,52304,"284 East Street, Ashburton",284,284,,East Street,Ashburton,Ashburton District,East Street,"284 East Street, Ashburton",Ashburton,171.747964567,-43.9044751833
POINT (171.7607094 -43.8931643333),146444,1780744,53101,"10 Pages Road, Allenton, Ashburton",10,10,,Pages Road,Allenton,Ashburton District,Pages Road,"10 Pages Road, Allenton, Ashburton",Allenton,171.7607094,-43.8931643333
POINT (171.75836275 -43.90463205),147477,3045786,49429,"81 Cox Street, Ashburton",81,81,,Cox Street,Ashburton,Ashburton District,Cox Street,"81 Cox Street, Ashburton",Ashburton,171.75836275,-43.90463205
POINT (171.8011307667 -43.7665602),148869,1780854,46309,"239 Lethams Road, Mitcham",239,239,,Lethams Road,Mitcham,Ashburton District,Lethams Road,"239 Lethams Road, Mitcham",Mitcham,171.80113076700002,-43.7665602
POINT (172.01571375 -43.7564919333),150381,1780953,46956,"1 South Town Belt, Rakaia",1,1,,South Town Belt,Rakaia,Ashburton District,South Town Belt,"1 South Town Belt, Rakaia",Rakaia,172.01571375,-43.7564919333
POINT (172.0420542333 -43.7640685333),526246,1780989,45219,"104 Acton Road, Rakaia",104,104,,Acton Road,Rakaia,Ashburton District,Acton Road,"104 Acton Road, Rakaia",Rakaia,172.042054233,-43.7640685333
POINT (171.5652913167 -44.0018753833),1332664,1781128,29816,"47 Reed Street, Hinds",47,47,,Reed Street,Hinds,Ashburton District,Reed Street,"47 Reed Street, Hinds",Hinds,171.565291317,-44.001875383299996
