id,address,boolean
6,"230 Pakihi Road, Otaio",Request timed out
7,"31 Ryans Road, Morven",Request timed out
12,"267 Ryans Road, Morven",Request timed out
13,"22B Gorge Road, Waimate",Request timed out
14,"63 Ferry Road, Glenavy",Request timed out
15,"13 Settlement Road, Waimate",Request timed out
17,"473 Timaru Road, Waimate",Request timed out
18,"962 Waimate Hunter Road, Makikihi",Request timed out
19,"680 Lower Hook Road, Makikihi",Request timed out
20,"700 Craigmore Valley Road, Maungati",Request timed out
21,"329 Cliffs Road, Maungati",Request timed out
22,"9 Balmoral Street, Waimate",Request timed out
23,"17 Mortimer Street, Waimate",Request timed out
27,"47 Harris Street, Waimate",Request timed out
28,"9 Elizabeth Street, Waimate",Request timed out
29,"171 Queen Street, Waimate",Request timed out
40,"285 Patersons Road, Maungati",Request timed out
41,"183 D'Auvergnes Road, Makikihi",Request timed out
43,"1193 Pareora River Road, Maungati",Request timed out
58,"91 Shearman Street, Waimate",Request timed out
59,"108 Queen Street, Waimate",Request timed out
60,"40 Parsonage Road, Waimate",Request timed out
78,"147 Lyalldale Road, Saint Andrews",Request timed out
80,"28 Point Bush Road, Waimate",Request timed out
81,"262 Pakihi Road, Otaio",Request timed out
97,"201 McHenrys Road, Hakataramea Valley",Request timed out
98,"1590 Pikes Point Road, Ikawai",Request timed out
104,"840 Moorland Settlement Road, Hakataramea Valley",Request timed out
114,"10 Milford Street, Waimate",Request timed out
136,"124 Maytown Road, Waimate",Request timed out
137,"139 Maytown Road, Waimate",Request timed out
138,"113 Bells Road, Makikihi",Request timed out
162,"808 Woolshed Valley Road, Otaio",Request timed out
178,"23 Horgans Road, Waimate",Request timed out
198,"3 Exeter Street, Waimate",Request timed out
199,"19 Murphy Street, Morven",Request timed out
200,"11B Kennedy Crescent, Waimate",Request timed out
201,"5C Innes Street, Waimate",Request timed out
202,"1 Paul Street, Waimate",Request timed out
203,"3667 Hakataramea Highway, Elephant Hill",Request timed out
204,"12 Kirks Road, Waimate",Request timed out
205,"373 Hayes Road, Hakataramea, Kurow",Request timed out
206,"695 Hakataramea Highway, Waimate",Request timed out
208,"188 Waihaorunga Back Road, Waihaorunga",Request timed out
209,"970 Waihaorunga Back Road, Elephant Hill",Request timed out
210,"36 Wallace Road, Ikawai",Request timed out
211,"753 Parkers Bush Road, Waimate",Request timed out
212,"229 Mitchells Road, Waimate",Request timed out
213,"18 Te Huruhuru Road, Waimate",Request timed out
217,"2469 Waimate Highway, Makikihi",Request timed out
218,"474 Jacksons Bush Road, Hunter",Request timed out
219,"509 Elephant Hill Road, Waihao Downs",Request timed out
220,"453 Whitneys Road, Waimate",Request timed out
234,"29 High Street, Waimate",Request timed out
235,"73 Timaru Road, Waimate",Request timed out
253,"428 Gordons Valley Road, Maungati",Request timed out
255,"93 Waimate Highway, Saint Andrews",Request timed out
257,"128 Queen Street, Waimate",Request timed out
258,"3 Stocker Lane, Glenavy",Request timed out
259,"641 Hakataramea Valley Road, Hakataramea, Kurow",Request timed out
260,"23 Allan Street, Waimate",Request timed out
261,"13 Browns Avenue, Waimate",Request timed out
262,"174 High Street, Waimate",Request timed out
263,"66 Rhodes Street, Waimate",Request timed out
264,"15 Point Bush Road, Waimate",Request timed out
265,"7 Pitman Place, Waimate",Request timed out
266,"120 High Street, Waimate",Request timed out
267,"17 Leonard Street, Waimate",Request timed out
268,"22 Rugby Street, Waimate",Request timed out
269,"27 Leonard Street, Waimate",Request timed out
270,"9 John Street, Waimate",Request timed out
271,"10 Holmes Street, Waimate",Request timed out
272,"74 Waimate Highway, Saint Andrews",Request timed out
273,"772 Makikihi Hunter Road, Hunter",Request timed out
277,"109 Archibald Road, Morven",Request timed out
279,"239 Hook School Road, Makikihi",Request timed out
280,"370 O'Neills Road, Makikihi",Request timed out
