WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (172.9585840667 -43.81442055),1755670,1779474,44024,"1 Akaroa Cemetery Road, Akaroa",1,1,,Akaroa Cemetery Road,Akaroa,Christchurch City,Akaroa Cemetery Road,"1 Akaroa Cemetery Road, Akaroa",Akaroa,172.958584067,-43.81442055
POINT (172.6147024833 -43.5127851833),204150,1782579,48060,"1 Allister Avenue, Strowan, Christchurch",1,1,,Allister Avenue,Strowan,Christchurch City,Allister Avenue,"1 Allister Avenue, Strowan, Christchurch",Strowan,172.614702483,-43.5127851833
POINT (172.7118547833 -43.6451410667),274609,1780032,369838,"1 Andersons Road, Charteris Bay",1,1,,Andersons Road,Charteris Bay,Christchurch City,Andersons Road,"1 Andersons Road, Charteris Bay",Charteris Bay,172.71185478299998,-43.6451410667
POINT (172.95293555 -43.7617251667),289600,1779397,40197,"1 Archdalls Road, Robinsons Bay",1,1,,Archdalls Road,Robinsons Bay,Christchurch City,Archdalls Road,"1 Archdalls Road, Robinsons Bay",Robinsons Bay,172.95293555,-43.7617251667
POINT (172.526003585671 -43.5236920726717),2043439,3077938,388984,"1 Ardnave Lane, Broomfield, Christchurch",1,1,,Ardnave Lane,Broomfield,Christchurch City,Ardnave Lane,"1 Ardnave Lane, Broomfield, Christchurch",Broomfield,172.52600358599997,-43.5236920727
POINT (172.9688671 -43.80863955),321762,1779398,300824,"1 Armstrong Crescent, Akaroa",1,1,,Armstrong Crescent,Akaroa,Christchurch City,Armstrong Crescent,"1 Armstrong Crescent, Akaroa",Akaroa,172.96886709999998,-43.80863955
POINT (172.72055505 -43.62959955),1395516,1780031,46157,"1 Athol Place, Diamond Harbour",1,1,,Athol Place,Diamond Harbour,Christchurch City,Athol Place,"1 Athol Place, Diamond Harbour",Diamond Harbour,172.72055505,-43.62959955
POINT (172.7885191333 -43.7736166167),287499,1780086,372187,"1 Barclays Road, Little River",1,1,,Barclays Road,Little River,Christchurch City,Barclays Road,"1 Barclays Road, Little River",Little River,172.788519133,-43.773616616700004
POINT (172.6442529167 -43.6256777),232008,1785661,39500,"1 Bay Heights, Governors Bay",1,1,,Bay Heights,Governors Bay,Christchurch City,Bay Heights,"1 Bay Heights, Governors Bay",Governors Bay,172.64425291700002,-43.6256777
POINT (172.9425074167 -43.7582352),567067,1779300,48747,"1 Bayview Crescent, Duvauchelle",1,1,,Bayview Crescent,Duvauchelle,Christchurch City,Bayview Crescent,"1 Bayview Crescent, Duvauchelle",Duvauchelle,172.942507417,-43.7582352
POINT (172.7125804667 -43.6408486333),274532,3073577,39901,"1 Bayview Road, Charteris Bay",1,1,,Bayview Road,Charteris Bay,Christchurch City,Bayview Road,"1 Bayview Road, Charteris Bay",Charteris Bay,172.712580467,-43.6408486333
POINT (172.9667427833 -43.8065661667),290489,1787233,42132,"1 Beach Road, Akaroa",1,1,,Beach Road,Akaroa,Christchurch City,Beach Road,"1 Beach Road, Akaroa",Akaroa,172.966742783,-43.8065661667
POINT (172.70781395 -43.8211544833),1406680,1780087,38601,"1 Beach Street, Little River",1,1,,Beach Street,Little River,Christchurch City,Beach Street,"1 Beach Street, Little River",Little River,172.70781395,-43.8211544833
POINT (172.545118396635 -43.5616299203322),2043605,3077946,389013,"1 Bernina Lane, Halswell, Christchurch",1,1,,Bernina Lane,Halswell,Christchurch City,Bernina Lane,"1 Bernina Lane, Halswell, Christchurch",Halswell,172.545118397,-43.5616299203
POINT (173.0531261 -43.688255),291231,3000595,44964,"1 Boleyns Road, Little Akaloa",1,1,,Boleyns Road,Little Akaloa,Christchurch City,Boleyns Road,"1 Boleyns Road, Little Akaloa",Little Akaloa,173.0531261,-43.688255
POINT (172.7263786667 -43.5988496333),282180,1779059,43793,"1 Brenchley Road, Lyttelton",1,1,,Brenchley Road,Lyttelton,Christchurch City,Brenchley Road,"1 Brenchley Road, Lyttelton",Lyttelton,172.726378667,-43.5988496333
POINT (172.7153157167 -43.6026978833),641707,1779483,53566,"1 Bridle Path, Lyttelton",1,1,,Bridle Path,Lyttelton,Christchurch City,Bridle Path,"1 Bridle Path, Lyttelton",Lyttelton,172.715315717,-43.602697883299996
POINT (172.71240825 -43.6029969333),274335,1779484,50312,"1 Brittan Terrace, Lyttelton",1,1,,Brittan Terrace,Lyttelton,Christchurch City,Brittan Terrace,"1 Brittan Terrace, Lyttelton",Lyttelton,172.71240825,-43.6029969333
POINT (172.72479115 -43.6068101333),1757509,1779955,45444,"1 Cashin Quay, Lyttelton",1,1,,Cashin Quay,Lyttelton,Christchurch City,Cashin Quay,"1 Cashin Quay, Lyttelton",Lyttelton,172.72479115,-43.6068101333
POINT (172.6938490167 -43.60450575),265232,1786149,49737,"1 Cass Bay Place, Cass Bay, Lyttelton",1,1,,Cass Bay Place,Cass Bay,Christchurch City,Cass Bay Place,"1 Cass Bay Place, Cass Bay, Lyttelton",Cass Bay,172.69384901700002,-43.60450575
POINT (172.9445516 -43.7544055333),1295736,1785733,40090,"1 Cedar Lane, Duvauchelle",1,1,,Cedar Lane,Duvauchelle,Christchurch City,Cedar Lane,"1 Cedar Lane, Duvauchelle",Duvauchelle,172.94455159999998,-43.7544055333
POINT (172.7332877333 -43.5640443667),1350518,1785684,280680,"1 Challenger Lane, Redcliffs, Christchurch",1,1,,Challenger Lane,Redcliffs,Christchurch City,Challenger Lane,"1 Challenger Lane, Redcliffs, Christchurch",Redcliffs,172.733287733,-43.5640443667
POINT (172.6932970333 -43.50356005),261659,1783612,30849,"1 Chardale Street, Avondale, Christchurch",1,1,,Chardale Street,Avondale,Christchurch City,Chardale Street,"1 Chardale Street, Avondale, Christchurch",Avondale,172.693297033,-43.50356005
POINT (172.6970564333 -43.6565562667),270064,3020444,51557,"1 Charteris Bay Road, Charteris Bay",1,1,,Charteris Bay Road,Charteris Bay,Christchurch City,Charteris Bay Road,"1 Charteris Bay Road, Charteris Bay",Charteris Bay,172.697056433,-43.6565562667
POINT (172.6468323833 -43.6323429333),1634041,1780049,38509,"1 Church Lane, Allandale",1,1,,Church Lane,Allandale,Christchurch City,Church Lane,"1 Church Lane, Allandale",Allandale,172.646832383,-43.6323429333
POINT (172.52585965722 -43.5241065135799),2043458,3077939,388987,"1 Ciaran Close, Broomfield, Christchurch",1,1,,Ciaran Close,Broomfield,Christchurch City,Ciaran Close,"1 Ciaran Close, Broomfield, Christchurch",Broomfield,172.525859657,-43.524106513599996
POINT (172.6175090167 -43.5097754333),1757796,1783615,42496,"1 Circuit Street, Strowan, Christchurch",1,1,,Circuit Street,Strowan,Christchurch City,Circuit Street,"1 Circuit Street, Strowan, Christchurch",Strowan,172.617509017,-43.5097754333
POINT (172.7057291833 -43.8224070667),1406688,3061508,46856,"1 Clifton Street, Little River",1,1,,Clifton Street,Little River,Christchurch City,Clifton Street,"1 Clifton Street, Little River",Little River,172.705729183,-43.8224070667
POINT (172.70688345 -43.8256921833),274745,1785442,56406,"1 Coates Road, Birdlings Flat",1,1,,Coates Road,Birdlings Flat,Christchurch City,Coates Road,"1 Coates Road, Birdlings Flat",Birdlings Flat,172.70688345,-43.8256921833
POINT (172.7187117333 -43.6007188833),278874,1779963,388109,"1 Coleridge Terrace, Lyttelton",1,1,,Coleridge Terrace,Lyttelton,Christchurch City,Coleridge Terrace,"1 Coleridge Terrace, Lyttelton",Lyttelton,172.718711733,-43.6007188833
POINT (172.7272862833 -43.5993675),282182,1787326,50820,"1 College Place, Lyttelton",1,1,,College Place,Lyttelton,Christchurch City,College Place,"1 College Place, Lyttelton",Lyttelton,172.72728628299998,-43.5993675
POINT (172.60324155 -43.5035500667),196337,1782856,38551,"1 Condell Avenue, Papanui, Christchurch",1,1,,Condell Avenue,Papanui,Christchurch City,Condell Avenue,"1 Condell Avenue, Papanui, Christchurch",Papanui,172.60324155,-43.5035500667
