id,add,statue
42,"18/155 Salisbury Street, Christchurch Central, Christchurch",Request timed out
143,"201/50 Kilmore Street, Christchurch Central, Christchurch",Request timed out
221,"30 Harvard Avenue, Wigram, Christchurch",Request timed out
244,"28 Roberts Road, Hei Hei, Christchurch",Request timed out
358,"1/8 Cascade Place, Sumner, Christchurch",Request timed out
400,"15 Galilee Lane, Moncks Bay, Christchurch",Request timed out
413,"1 Mary McLean Place, Hillsborough, Christchurch",Request timed out
423,"32 Royal Park Drive, Parklands, Christchurch",Request timed out
424,"89 Chartwell Street, Burwood, Christchurch",Request timed out
447,"68 Grayshott Avenue, Casebrook, Christchurch",Request timed out
454,"109BQ Worcester Street, Christchurch Central, Christchurch",Request timed out
484,"17 Stanmore Road, Phillipstown, Christchurch",Request timed out
501,"17 St David Street, Christchurch Central, Christchurch",Request timed out
527,"28 Rockview Place, Mount Pleasant, Christchurch",Request timed out
530,"10 Roswell Place, Islington, Christchurch",Request timed out
695,"20 Roydon Drive, Templeton, Christchurch",Request timed out
786,"66 Malcolm Avenue, Beckenham, Christchurch",Request timed out
819,"109 Rowses Road, Aranui, Christchurch",Request timed out
834,"14 Neill Street, Hornby, Christchurch",Request timed out
840,"27 Rearsby Drive, Halswell, Christchurch",Request timed out
872,"16 Wakatu Avenue, Moncks Bay, Christchurch",Request timed out
895,"3/1048 Colombo Street, St Albans, Christchurch",Request timed out
934,"10 Bradnor Road, Fendalton, Christchurch",Request timed out
943,"189 Innes Road, St Albans, Christchurch",Request timed out
955,"22 Brabourne Street, Hillsborough, Christchurch",Request timed out
957,"36 Carnarvon Street, Linwood, Christchurch",Request timed out
961,"20 Teal Close, Woolston, Christchurch",Request timed out
977,"2/180 England Street, Linwood, Christchurch",Request timed out
978,"3/19 Walton Street, Sydenham, Christchurch",Request timed out
979,"1/31 Huxley Street, Sydenham, Christchurch",Request timed out
980,"2A Austin Street, Sydenham, Christchurch",Request timed out
1008,"12 Roydon Drive, Templeton, Christchurch",Request timed out
1055,"48 Riselaw Street, Mairehau, Christchurch",Request timed out
1069,"54 Mansfield Avenue, St Albans, Christchurch",Request timed out
1115,"67 Cottonwood Street, Parklands, Christchurch",Request timed out
1162,"65 Aldershot Street, Aranui, Christchurch",Request timed out
1163,"21 Carey Street, Somerfield, Christchurch",Request timed out
1181,"203/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
1244,"11 Manhire Street, Spreydon, Christchurch",Request timed out
1246,"32 Banks Avenue, Burwood, Christchurch",Request timed out
1323,"32 Cotswold Avenue, Bishopdale, Christchurch",Request timed out
1334,"46 Bengal Drive, Cashmere, Christchurch",Request timed out
1342,"31 Thornton Street, Mairehau, Christchurch",Request timed out
1346,"19 Lismore Street, Waltham, Christchurch",Request timed out
1354,"10 Price Place, Linwood, Christchurch",Request timed out
1355,"12 Tamarisk Place, Parklands, Christchurch",Request timed out
1397,"25 Cognac Drive, Yaldhurst, Christchurch",Request timed out
1401,"11/10 Craven Street, Sockburn, Christchurch",Request timed out
1438,"5 Oakley Crescent, Hornby, Christchurch",Request timed out
1443,"22 Marquess Avenue, Halswell, Christchurch",Request timed out
1462,"21 Ashton Mews, Casebrook, Christchurch",Request timed out
1466,"12 Marley View Street, Somerfield, Christchurch",Request timed out
1468,"66 Hawkesbury Avenue, St Albans, Christchurch",Request timed out
1470,"7 Colombo Street, Cashmere, Christchurch",Request timed out
1543,"127 Major Hornbrook Road, Mount Pleasant, Christchurch",Request timed out
1546,"57 Halsey Street, South New Brighton, Christchurch",Request timed out
1552,"10 Roystone Way, Huntsbury, Christchurch",Request timed out
1558,"22 Roimata Place, Woolston, Christchurch",Request timed out
1559,"10 Ballarat Way, Wigram, Christchurch",Request timed out
1566,"12 Roberts Road, Hei Hei, Christchurch",Request timed out
1571,"27 Glenharrow Avenue, Avonhead, Christchurch",Request timed out
1580,"34 Sayers Crescent, Ilam, Christchurch",Request timed out
1589,"10 Grigg Place, Hillmorton, Christchurch",Request timed out
1594,"20 Herdman Street, Hoon Hay, Christchurch",Request timed out
1603,"18 Washington Way, Sydenham, Christchurch",Request timed out
1607,"43 Arawa Street, Shirley, Christchurch",Request timed out
1611,"18 Jean Batten Place, Burwood, Christchurch",Request timed out
1616,"69 Hargood Street, Woolston, Christchurch",Request timed out
1622,"17 Te Rama Place, Wainoni, Christchurch",Request timed out
1660,"303A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
1666,"15A Coniston Avenue, Ilam, Christchurch",Request timed out
1676,"12 Prestwick Street, Avondale, Christchurch",Request timed out
1679,"19 Quantock Place, Burwood, Christchurch",Request timed out
1681,"16 Newport Street, Avondale, Christchurch",Request timed out
1690,"17 Longview Place, Burwood, Christchurch",Request timed out
1705,"10/28 Cathedral Square, Christchurch Central, Christchurch",Request timed out
1719,"1/106 Elizabeth Street, Riccarton, Christchurch",Request timed out
1725,"26 Colchester Place, Templeton, Christchurch",Request timed out
1751,"15 Creedon Glen, Casebrook, Christchurch",Request timed out
1797,"22 Mallard Place, Woolston, Christchurch",Request timed out
1855,"36 Balrudry Street, Avonhead, Christchurch",Request timed out
1899,"143 Main Road, Redcliffs, Christchurch",Request timed out
1937,"56A Marriner Street, Sumner, Christchurch",Request timed out
1948,"1/104 Barrington Street, Somerfield, Christchurch",Request timed out
1959,"10 Cataluna Place, Hei Hei, Christchurch",Request timed out
1972,"67 Rempstone Drive, Halswell, Christchurch",Request timed out
1974,"32 Westmont Street, Ilam, Christchurch",Request timed out
1992,"154 Mays Road, St Albans, Christchurch",Request timed out
1995,"28 Stevens Street, Waltham, Christchurch",Request timed out
2038,"31C Somme Street, St Albans, Christchurch",Request timed out
2039,"11A Holt Place, Burnside, Christchurch",Request timed out
2080,"40 Marquess Avenue, Halswell, Christchurch",Request timed out
2084,"10 Harrowdale Drive, Avonhead, Christchurch",Request timed out
2087,"30 Montclare Avenue, Ilam, Christchurch",Request timed out
2104,"105 Ravensdale Rise, Westmorland, Christchurch",Request timed out
2115,"12 Prossers Road, Saint Martins, Christchurch",Request timed out
2130,"22 Whitewash Head Road, Scarborough, Christchurch",Request timed out
2163,"19 Taupata Street, Redcliffs, Christchurch",Request timed out
2193,"15A Dunedin Street, Redwood, Christchurch",Request timed out
2198,"1/13 Suva Street, Upper Riccarton, Christchurch",Request timed out
2247,"31 North Parade, Richmond, Christchurch",Request timed out
2258,"11 Breezes Road, Avondale, Christchurch",Request timed out
2266,"300 Wainoni Road, Avondale, Christchurch",Request timed out
2273,"45 Taupata Street, Redcliffs, Christchurch",Request timed out
2277,"14 Taunton Green, Papanui, Christchurch",Request timed out
2302,"11 Ambleside Drive, Burnside, Christchurch",Request timed out
2349,"1/22 Cameron Street, Sydenham, Christchurch",Request timed out
2362,"16 Farquhars Road, Redwood, Christchurch",Request timed out
2373,"133 Slater Street, Richmond, Christchurch",Request timed out
2374,"30 Chancellor Street, Richmond, Christchurch",Request timed out
2383,"6 Wildwood Avenue, Wainoni, Christchurch",Request timed out
2397,"10 Balmoral Lane, Redcliffs, Christchurch",Request timed out
2406,"20 Hennessy Place, Spreydon, Christchurch",Request timed out
2412,"15 Marshs Road, Templeton, Christchurch",Request timed out
2424,"338 Waimairi Road, Ilam, Christchurch",Request timed out
2436,"10 Rosefield Lane, Northcote, Christchurch",Request timed out
2441,"38 Roker Street, Somerfield, Christchurch",Request timed out
2463,"27 Briarmont Street, Avondale, Christchurch",Request timed out
2480,"1/13 Salisbury Street, Christchurch Central, Christchurch",Request timed out
2500,"2/117 Beresford Street, New Brighton, Christchurch",Request timed out
2733,"109BN Worcester Street, Christchurch Central, Christchurch",Request timed out
2853,"27 Pembroke Street, Avondale, Christchurch",Request timed out
2952,"22 Glenstrae Road, Redcliffs, Christchurch",Request timed out
2959,"1/100 Huxley Street, Sydenham, Christchurch",Request timed out
2986,"1AF/109 Worcester Street, Christchurch Central, Christchurch",Request timed out
3034,"29 Wilfrid Street, Ilam, Christchurch",Request timed out
3071,"11 Heriott Close, Burwood, Christchurch",Request timed out
3086,"2/139 Weston Road, St Albans, Christchurch",Request timed out
3132,"20 Wagner Crescent, Northwood, Christchurch",Request timed out
3179,"77 Woodham Road, Linwood, Christchurch",Request timed out
3256,"25 Corhampton Street, Aranui, Christchurch",Request timed out
3277,"19A Tilford Street, Woolston, Christchurch",Request timed out
3325,"25 Strowan Road, Strowan, Christchurch",Request timed out
3327,"19 Tisch Place, Belfast, Christchurch",Request timed out
3343,"39 Robson Avenue, Avonside, Christchurch",Request timed out
3351,"22 Mecca Place, Linwood, Christchurch",Request timed out
3384,"3/15 Bowen Street, Upper Riccarton, Christchurch",Request timed out
3400,"14 Brightstone Crescent, Aranui, Christchurch",Request timed out
3404,"90A Balrudry Street, Avonhead, Christchurch",Request timed out
3408,"1/111 Antigua Street, Addington, Christchurch",Request timed out
3414,"10A Betula Place, Parklands, Christchurch",Request timed out
3453,"113 Kaiwara Street, Hoon Hay, Christchurch",Request timed out
3489,"12 Ventnor Crescent, Aranui, Christchurch",Request timed out
