,id,address,boolean
3408,3409,"8 Richard Pearse Drive, Temuka",Request timed out
3409,3410,"26 King Street, Temuka",Request timed out
3410,3411,"71 King Street, Temuka",Request timed out
3411,3412,"14 Seddon Street, Temuka",Request timed out
3412,3413,"21 Princes Street, Temuka",Request timed out
3413,3414,"28 Rayner Street, Temuka",Request timed out
3414,3415,"39 Hornbrook Street, Temuka",Request timed out
3418,3419,"9 John Street, Temuka",Request timed out
3419,3420,"164 Hawke Road, Orari",Request timed out
3424,3425,"370 Doake Road, Levels Valley",Request timed out
3429,3430,"100 Gleniti Road, Gleniti, Timaru",Request timed out
3430,3431,"36 Spring Road, Gleniti, Timaru",Request timed out
3432,3433,"12 Rowan Place, Gleniti, Timaru",Request timed out
3440,3441,"96 Kent Street, Marchwiel, Timaru",Request timed out
3441,3442,"12 Totara Place, Highfield, Timaru",Request timed out
3446,3447,"39 Lookout Road, Peel Forest",Request timed out
3448,3449,"54 Kennels Road, Washdyke, Timaru",Request timed out
3449,3450,"16 Goulds Road, Marchwiel, Timaru",Request timed out
3450,3451,"26 Goulds Road, Marchwiel, Timaru",Request timed out
3463,3464,"52 Canada Street, Watlington, Timaru",Request timed out
3464,3465,"45 St George Street, Watlington, Timaru",Request timed out
3465,3466,"57 Rockdale Road, Fairview",Request timed out
3484,3485,"75 Arthur Street, Seaview, Timaru",Request timed out
3488,3489,"25 Lancaster Street, Geraldine",Request timed out
3516,3517,"B/176A Wai-Iti Road, Highfield, Timaru",Request timed out
3527,3528,"9 Hall Road, Kakahu",Request timed out
3528,3529,"163 Stafford Street, Timaru",Request timed out
3553,3554,"14 Wallingford Road, Temuka",Request timed out
3554,3555,"342 Totara Valley Road, Totara Valley",Request timed out
3557,3558,"1 Kauri Street, Pleasant Point",Request timed out
3561,3562,"9 Halstead Road, Pleasant Point",Request timed out
3574,3575,"46 Mountain View Road, Glenwood, Timaru",Request timed out
3589,3590,"33 Guinness Street, Highfield, Timaru",Request timed out
3593,3594,"323 Winchester Hanging Rock Road, Geraldine Flat",Request timed out
3594,3595,"95 Roaring Camp Road, Kerrytown",Request timed out
3595,3596,"331 Arowhenua Road, Kerrytown",Request timed out
3596,3597,"35 Laughton Street, Washdyke, Timaru",Request timed out
3597,3598,"17 Essex Street, Marchwiel, Timaru",Request timed out
