address,boolean
"19 Halstead Road, Pleasant Point",Request timed out
"131 Selwyn Street, Waimataitai, Timaru",Request timed out
"28 Market Street, Watlington, Timaru",Request timed out
"29 Whitcombe Street, Temuka",Request timed out
"224 Douglas Street, Highfield, Timaru",Request timed out
"17 Maple Crescent, Watlington, Timaru",Request timed out
"14 Connolly Street, Geraldine",Request timed out
"27 Barnard Street, Timaru ",Request timed out
"1220 Peel Forest Road, Peel Forest ",Request timed out
"8 Lindsay Street, Marchwiel, Timaru ",Request timed out
"14 Branscombe Street, Highfield, Timaru ",Request timed out
"16 Te Weka Street, Maori Hill, Timaru ",Request timed out
"109 Station Road, Temuka ",Request timed out
"32 Birkett Street, Temuka ",Request timed out
"40 Hayhurst Street, Temuka ",Request timed out
"1/96 North Street, Seaview, Timaru ",Request timed out
"2/41 Wilson Street, Geraldine ",Request timed out
"540 Fairview Road, Claremont ",Request timed out
"12 McKeown Road, Woodbury ",Request timed out
"16 Tekapo Street, Glenwood, Timaru ",Request timed out
"10 Collingwood Street, Highfield, Timaru ",Request timed out
"16 Melton Street, Watlington, Timaru ",Request timed out
"18 Somerset Street, Watlington, Timaru ",Request timed out
"22 Talbot Street, Geraldine ",Request timed out
"27 The Terrace, Timaru ",Request timed out
"11 South Street, Kensington, Timaru ",Request timed out
"20 Edward Street, Parkside, Timaru ",Request timed out
"55 Cain Street, Parkside, Timaru ",Request timed out
"87A King Street, Kensington, Timaru ",Request timed out
"41 Sherratt Road, Geraldine Downs ",Request timed out
"223 North Street, West End, Timaru ",Request timed out
"46 Ranui Avenue, Waimataitai, Timaru ",Request timed out
"56 MacDonald Street, Marchwiel, Timaru ",Request timed out
"59 Main North Road, Geraldine ",Request timed out
"6 Craigie Avenue, Parkside, Timaru ",Request timed out
"17A Trafalgar Street, Maori Hill, Timaru ",Request timed out
"628 Pleasant Point Highway, Levels ",Request timed out
"176 Morgans Road, Marchwiel, Timaru ",Request timed out
"10 Waitaki Street, Glenwood, Timaru ",Request timed out
"150 Selwyn Street, Waimataitai, Timaru ",Request timed out
"135 Wai-Iti Road, Highfield, Timaru ",Request timed out
"14 Brenda Street, Kensington, Timaru ",Request timed out
"10 Evans Street, Maori Hill, Timaru ",Request timed out
"13 South Terrace Road, Geraldine ",Request timed out
"46 Hopkins Street, Gleniti, Timaru ",Request timed out
"141 Douglas Street, Highfield, Timaru ",Request timed out
"30 Maple Crescent, Watlington, Timaru ",Request timed out
"75 Cox Street, Geraldine ",Request timed out
"78 Cox Street, Geraldine ",Request timed out
"54 York Street, Seaview, Timaru ",Request timed out
"12 Harper Street, Parkside, Timaru ",Request timed out
