address,boolean
"840 Moorland Settlement Road, Hakataramea Valley",Request timed out
"1201 Pareora River Road, Maungati",Request timed out
"16 Manchester Street, Waimate",Request timed out
"15 Braddon Street, Saint Andrews",Request timed out
"90 Rattrays Road, Makikihi",Request timed out
"21 Maude Street, Waimate",Request timed out
"27 Maude Street, Waimate",Request timed out
"10 Harris Street, Waimate",Request timed out
"4 Otaio River Road, Otaio",Request timed out
"427 Springbank Road, Otaio",Request timed out
"300 Glenavy Tawai Road, Glenavy",Request timed out
"229 Molloys Road, Waimate",Request timed out
"198 Morven Beach Road, Morven",Request timed out
"18 Mary Street, Waimate",Request timed out
"12 Dobson Street, Waimate",Request timed out
"28 Edinburgh Street, Waimate",Request timed out
"14 Moorhouse Street, Waimate",Request timed out
"11 Braddon Street, Saint Andrews",Request timed out
"15 Mary Street, Waimate",Request timed out
"12 Michael Street, Waimate",Request timed out
"20 Hamiltons Road, Maungati",Request timed out
"38 Maude Street, Waimate",Request timed out
"16 Cameron Street, Waimate",Request timed out
"100 Wains Crossing Road, Waimate",Request timed out
"37 Parsonage Road, Waimate",Request timed out
"11 Hunts Road, Waimate",Request timed out
"12 Manchester Street, Waimate",Request timed out
"16 Maude Street, Waimate",Request timed out
"526 Hannaton Road, Waimate",Request timed out
"10 Mill Road, Waimate",Request timed out
"11 Parsonage Road, Waimate",Request timed out
"26 Paul Street, Waimate",Request timed out
"54 Wilkin Street, Waimate",Request timed out
"10 Innes Street, Waimate",Request timed out
"316 Hayes Road, Hakataramea, Kurow",Request timed out
"26 Maori Road, Morven",Request timed out
"13 Braddon Street, Saint Andrews",Request timed out
"10 Pareora River Road, Saint Andrews",Request timed out
"4 Innes Street, Waimate",Request timed out
"273 Waihuna Road, Ikawai",Request timed out
"1 Pareora River Road, Saint Andrews",Request timed out
"20 Paul Street, Waimate",Request timed out
"22 Waimate Highway, Saint Andrews",Request timed out
"26 Paddys Lane, Waimate",Request timed out
"16 Cairds Road, Southburn",Request timed out
"844 Moorland Settlement Road, Hakataramea Valley",Request timed out
"10 Parker Street, Glenavy",Request timed out
"161 High Street, Waimate",Request timed out
"18 Manse Street, Waimate",Request timed out
"11 Mill Road, Waimate",Request timed out
"12 Paul Street, Waimate",Request timed out
"197 Mairos Road, Morven",Request timed out
"19 Edward Street, Waimate",Request timed out
"21 Parsonage Road, Waimate",Request timed out
"33 Pareora River Road, Saint Andrews",Request timed out
"16 Middle Yards Road, Maungati",Request timed out
"15 Browns Avenue, Waimate",Request timed out
"11 Paul Street, Waimate",Request timed out
"38 Waikakahi Valley Road, Ikawai",Request timed out
"120 Half Chain Road, Waimate",Request timed out
"61 Painstown Road, Waimate",Request timed out
"114 Craigmore Hill Road, Maungati",Request timed out
"113 Braddon Street, Saint Andrews",Request timed out
"24 Makikihi Hunter Road, Makikihi",Request timed out
"170 High Street, Waimate",Request timed out
"18 Holmes Street, Waimate",Request timed out
"42 Parker Street, Glenavy",Request timed out
"80 Parsonage Road, Waimate",Request timed out
"15 Mortimer Street, Waimate",Request timed out
"71 Parsonage Road, Waimate",Request timed out
"14 Makikihi Beach Road, Makikihi",Request timed out
"12 Montgomery Street, Waimate",Request timed out
"11 Waituna School Road, Waimate",Request timed out
"27 Holmes Street, Waimate",Request timed out
"23 Holmes Street, Waimate",Request timed out
