,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
7,,Ashburton,9/01/15,Ab1318/14,29 Allens Road Ashburton   Ashburton,29 Allens Road Ashburton,,,,"2,700",heating unit - f/s masport r1500 logfire in an alcove
10,,Ashburton,12/01/15,Ab1194/14,3 Deans Street Ashburton District   Ashburton,3 Deans Street Ashburton District,,,,"486,000",4 bedroom dwelling with attached garage & logfire
27,,Ashburton,16/01/15,Ab0016/15,16 Thomas Street Ashburton   Ashburton,16 Thomas Street Ashburton,,,,"4,400",heating unit - install f/s bosca spirit 550 logfire
28,,Ashburton,16/01/15,Ab0015/15,4 Suffolk Street Ashburton   Ashburton,4 Suffolk Street Ashburton,,,,"3,500",heating unit - install f/s metro xtreme ped logfire
59,,Ashburton,30/01/15,Ab0042/15,1315 Frasers Road Tinwald   Ashburton,1315 Frasers Road Tinwald,,,,"5,300",heating unit - f/s masport r10000 logfire
60,,Ashburton,30/01/15,Ab0041/15,66 Bridge Street Ashburton   Ashburton,66 Bridge Street Ashburton,,,,"3,500",heating unit - f/s osburn 1600 mkiii logfire on existing wetback
61,,Ashburton,30/01/15,Ab0031/15,369 Burnett Street Ashburton   Ashburton,369 Burnett Street Ashburton,,,,"3,000",heating unit - f/s masport r5000 (ped) logfire
96,,Ashburton,17/02/15,Ab0023/15,31 Douglas Drive Ashburton District   Ashburton,31 Douglas Drive Ashburton District,,,,"430,000",new construction - new 4 bedroom dwelling with logfire & garage
110,,Ashburton,20/02/15,Ab0075/15,794 East Street Ashburton   Ashburton,794 East Street Ashburton,,,,"1,500",heating unit - install an inbuilt metro eco smart logfire
112,,Ashburton,20/02/15,Ab0076/15,44 Wilkin Street Tinwald   Ashburton,44 Wilkin Street Tinwald,,,,"4,800",heating unit - install inbuilt masport le4000 logfire
113,,Ashburton,20/02/15,Ab0070/15,75 Creek Road Ashburton   Ashburton,75 Creek Road Ashburton,,,,"4,500",heating unit - install f/s metro r2 logfire
117,,Ashburton,23/02/15,Ab0078/15,17 Hekeao Road Ashburton District   Ashburton,17 Hekeao Road Ashburton District,,,,"2,700",heating unit - install f/s woodsman tasman mkii logfire on wetback
118,,Ashburton,23/02/15,Ab0084/15,9 Lismore Mayfield Road Ashburton District   Ashburton,9 Lismore Mayfield Road Ashburton District,,,,"2,500",heating unit - install a f/s woodsman tasman mkii logfire
122,,Ashburton,23/02/15,Ab0086/15,0 Mclennans Bush Road Ashburton District   Ashburton,0 Mclennans Bush Road Ashburton District,,,,"4,500",f/s masport r1000 mckenzie rural logfire
124,,Ashburton,23/02/15,Ab0077/15,33 Tuarangi Road Ashburton   Ashburton,33 Tuarangi Road Ashburton,,,,"3,800",heating unit - install an inbuilt masport le4000 logfire
125,,Ashburton,23/02/15,Ab0085/15,234 Dobson Street Ashburton   Ashburton,234 Dobson Street Ashburton,,,,"2,000",install f/s metro euro ped logfire
126,,Ashburton,23/02/15,Ab0087/15,19 Eton Street Ashburton District   Ashburton,19 Eton Street Ashburton District,,,,"2,000",install a f/s masport osburn 1600 logfire
127,,Ashburton,23/02/15,Ab0096/15,1 Hillier Place Ashburton   Ashburton,1 Hillier Place Ashburton,,,,"1,500",heating unit - install a f/s woodsman ecr mkiii logfire.
134,,Ashburton,24/02/15,Ab0109/15,60 Spaxton Street Methven   Ashburton,60 Spaxton Street Methven,,,,"4,000",heating unit - install a f/s yunca hobson logfire
135,,Ashburton,24/02/15,Ab0103/15,42 Grove Street Tinwald   Ashburton,42 Grove Street Tinwald,,,,"3,872",install a f/s masport atlanta bay logfire
137,,Ashburton,25/02/15,Ab0117/15,2248 Ealing Montalto Road Ashburton District   Ashburton,2248 Ealing Montalto Road Ashburton District,,,,"4,860",heating unit- install an inbuilt masport le4000 logfire
138,,Ashburton,25/02/15,Ab0135/15,587 Longbeach Road Ashburton District   Ashburton,587 Longbeach Road Ashburton District,,,,"4,950",install a inbuilt masport le4000 wood logfire
139,,Ashburton,25/02/15,Ab0111/15,1271 Ashburton Staveley Road Ashburton District   Ashburton,1271 Ashburton Staveley Road Ashburton District,,,,"4,150",install a f/s woodsman brunner mkii logfire
140,,Ashburton,25/02/15,Ab0116/15,45 Lane Street Ashburton   Ashburton,45 Lane Street Ashburton,,,,"5,200",heating unit - install a f/s masport f3000 logfire
