,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description, consent_value ,description
18,Gisborne,Gisborne,30-Jan-16,G16608,2134 Whakarau Road   Gisborne,2134 Whakarau Road,,,,"$17,000.00 ",erect dwelling with logfire
24,Gisborne,Gisborne,30-Jan-16,G16674,51 Fergusson Drive Gisborne  Gisborne,51 Fergusson Drive,Gisborne,,,"$6,000.00 ",new freestanding yunca logfire
25,Gisborne,Gisborne,30-Jan-16,G16670,294 Kahutia Street Gisborne  Gisborne,294 Kahutia Street,Gisborne,,,"$5,000.00 ",new freestanding masport logfire
28,Gisborne,Gisborne,30-Jan-16,G16649,530 Gladstone Road Gisborne  Gisborne,530 Gladstone Road,Gisborne,,,"$2,500.00 ",new freestanding milano logfire
30,Gisborne,Gisborne,28-Feb-16,16595,5 Wairere Road Wainui  Gisborne,5 Wairere Road,Wainui,,,"$1,500,000.00 ",remove existing dwelling and garage and erect new dwelling with detached garage and install yunca freestanding logfire
36,Gisborne,Gisborne,28-Feb-16,16641,1057 Paparatu Road Gisborne  Gisborne,1057 Paparatu Road,Gisborne,,,"$287,000.00 ",erect barn house with attached carport and install freestanding firenzo logfire
41,Gisborne,Gisborne,28-Feb-16,16690,194 Fox Street Gisborne  Gisborne,194 Fox Street,Gisborne,,,"$55,000.00 ",install firenzo logfire
46,Gisborne,Gisborne,28-Feb-16,16672,1291 Kanakanaia Road Te Karaka  Gisborne,1291 Kanakanaia Road,Te Karaka,,,"$25,000.00 ",extend bedroom- move walls-install masport logfire and relocate laundry and tub
58,Gisborne,Gisborne,28-Feb-16,16693,286 Bloomfield Road Matawhero  Gisborne,286 Bloomfield Road,Matawhero,,,"$6,000.00 ",install freestanding firenzo logfire
59,Gisborne,Gisborne,28-Feb-16,16734,32 Titoki Street Gisborne  Gisborne,32 Titoki Street,Gisborne,,,"$4,500.00 ",install inbuilt woodsman logfire
60,Gisborne,Gisborne,28-Feb-16,16735,25 Miro Street Gisborne  Gisborne,25 Miro Street,Gisborne,,,"$4,500.00 ",install inbuilt woodsman logfire
95,Gisborne,Gisborne,30-Mar-16,16745,4 Riverside Road Gisborne  Gisborne,4 Riverside Road,Gisborne,,,"$19,000.00 ",convert carport to studio and install log fire
108,Gisborne,Gisborne,30-Mar-16,16753,40 Richardson Avenue Gisborne  Gisborne,40 Richardson Avenue,Gisborne,,,"$10,000.00 ",log fire
112,Gisborne,Gisborne,30-Mar-16,16776,19 Joanne Street Gisborne  Gisborne,19 Joanne Street,Gisborne,,,"$8,000.00 ",log fire
114,Gisborne,Gisborne,30-Mar-16,16741,23 Domain Road Ormond  Gisborne,23 Domain Road,Ormond,,,"$6,500.00 ",log fire
115,Gisborne,Gisborne,30-Mar-16,16767,41 Lyell Road Gisborne  Gisborne,41 Lyell Road,Gisborne,,,"$6,400.00 ",log fire
117,Gisborne,Gisborne,30-Mar-16,16771,50 Harper Road Makauri  Gisborne,50 Harper Road,Makauri,,,"$6,000.00 ",log fire
118,Gisborne,Gisborne,30-Mar-16,16798,96 Taurau Valley Road Manutuke  Gisborne,96 Taurau Valley Road,Manutuke,,,"$6,000.00 ",log fire
119,Gisborne,Gisborne,30-Mar-16,16742,81 Lavenham Road Patutahi  Gisborne,81 Lavenham Road,Patutahi,,,"$5,500.00 ",log fire
120,Gisborne,Gisborne,30-Mar-16,16758,38 Centennial Crescent   Gisborne,38 Centennial Crescent,,,,"$5,000.00 ",log fire
121,Gisborne,Gisborne,30-Mar-16,16766,224 Whitaker Street Gisborne  Gisborne,224 Whitaker Street,Gisborne,,,"$5,000.00 ",log fire
122,Gisborne,Gisborne,30-Mar-16,16768,15 Campbell Street Gisborne  Gisborne,15 Campbell Street,Gisborne,,,"$5,000.00 ",log fire
123,Gisborne,Gisborne,30-Mar-16,16747,8 Argyll Street Gisborne  Gisborne,8 Argyll Street,Gisborne,,,"$5,000.00 ",log fire
124,Gisborne,Gisborne,30-Mar-16,16779,157 Whitaker Street Gisborne  Gisborne,157 Whitaker Street,Gisborne,,,"$4,000.00 ",log fire
125,Gisborne,Gisborne,30-Mar-16,16783,54 Clifford Street Gisborne  Gisborne,54 Clifford Street,Gisborne,,,"$3,500.00 ",log fire
126,Gisborne,Gisborne,30-Mar-16,16789,5 Kingsley Street Gisborne  Gisborne,5 Kingsley Street,Gisborne,,,"$3,000.00 ",log fire
127,Gisborne,Gisborne,30-Mar-16,16795,1400 Wharerata Road   Gisborne,1400 Wharerata Road,,,,"$3,000.00 ",log fire
129,Gisborne,Gisborne,30-Mar-16,16780,18 Montrose Street Gisborne  Gisborne,18 Montrose Street,Gisborne,,,"$2,000.00 ",log fire
132,Gisborne,Gisborne,30-Mar-16,16761,10 Library Road Te Karaka  Gisborne,10 Library Road,Te Karaka,,,"$1,200.00 ",log fire
134,Gisborne,Gisborne,30-Mar-16,16791,15 Cameron Road Gisborne  Gisborne,15 Cameron Road,Gisborne,,,"$1,000.00 ",log fire
135,Gisborne,Gisborne,30-Mar-16,16787,28 Winter Street Gisborne  Gisborne,28 Winter Street,Gisborne,,,"$1,000.00 ",log fire
139,Gisborne,Gisborne,1-Apr-16,16813,75 Brown Road Waereng-A-Hika  Gisborne,75 Brown Road,Waereng-A-Hika,,,"$2,500.00 ",install 2nd hand atlanta logfire
140,Gisborne,Gisborne,4-Apr-16,16661,390 Ngakoroa Road   Gisborne,390 Ngakoroa Road,,,,"$700,000.00 ",new dwelling &  detached pole shed double garage &  logfire
143,Gisborne,Gisborne,4-Apr-16,16763,72A Centennial Crescent Gisborne  Gisborne,72A Centennial Crescent,Gisborne,,,"$211,000.00 ",repairs to fire damaged dwelling &  install new masport logfire
155,Gisborne,Gisborne,6-Apr-16,16821,2 Mere Street Tokomaru Bay  Gisborne,2 Mere Street,Tokomaru Bay,,,"$4,000.00 ",new woodsman logfire
156,Gisborne,Gisborne,6-Apr-16,16822,1354 Matawai Road Ormond  Gisborne,1354 Matawai Road,Ormond,,,"$3,800.00 ",new masport logfire
159,Gisborne,Gisborne,7-Apr-16,16834,5 Charles Street Gisborne  Gisborne,5 Charles Street,Gisborne,,,"$7,000.00 ",new yunca logfire
160,Gisborne,Gisborne,7-Apr-16,16824,132 Ormond Valley Road Ormond  Gisborne,132 Ormond Valley Road,Ormond,,,"$7,000.00 ",new firenzo logfire
161,Gisborne,Gisborne,7-Apr-16,16825,33 Scott Street Gisborne  Gisborne,33 Scott Street,Gisborne,,,"$5,000.00 ",new yunca logfire
162,Gisborne,Gisborne,7-Apr-16,16826,2 Norman Road Gisborne  Gisborne,2 Norman Road,Gisborne,,,"$5,000.00 ",new yunca logfire
163,Gisborne,Gisborne,7-Apr-16,16739,15 Lysnar Street Wainui  Gisborne,15 Lysnar Street,Wainui,,,"$3,500.00 ",new metro logfire
164,Gisborne,Gisborne,7-Apr-16,16823,3 Endcliffe Road Gisborne  Gisborne,3 Endcliffe Road,Gisborne,,,"$3,500.00 ",new metro logfire
165,Gisborne,Gisborne,7-Apr-16,16835,3 Manners Court Gisborne  Gisborne,3 Manners Court,Gisborne,,,"$3,000.00 ",new masport logfire
166,Gisborne,Gisborne,7-Apr-16,16833,292 Papatu Road Manutuke  Gisborne,292 Papatu Road,Manutuke,,,"$2,500.00 ",new metro logfire
171,Gisborne,Gisborne,8-Apr-16,16846,232 Lytton Road Gisborne  Gisborne,232 Lytton Road,Gisborne,,,"$3,000.00 ",new milan logfire
179,Gisborne,Gisborne,12-Apr-16,16851,4623C Te Araroa Road Te Araroa  Gisborne,4623C Te Araroa Road,Te Araroa,,,"$5,000.00 ",new masport logfire
180,Gisborne,Gisborne,12-Apr-16,16848,4 Cleary Road Wainui  Gisborne,4 Cleary Road,Wainui,,,"$4,000.00 ",new metro logfire
184,Gisborne,Gisborne,14-Apr-16,16860,251 Valley Road Gisborne  Gisborne,251 Valley Road,Gisborne,,,"$5,350.00 ",new masport logfire
185,Gisborne,Gisborne,15-Apr-16,168869,161 Makaraka Road Makaraka  Gisborne,161 Makaraka Road,Makaraka,,,"$5,000.00 ",new wagner logfire
186,Gisborne,Gisborne,15-Apr-16,16859,50 Muir Street Gisborne  Gisborne,50 Muir Street,Gisborne,,,"$4,500.00 ",new masport logfire
187,Gisborne,Gisborne,15-Apr-16,16871,162E Matokitoki Valley Road Gisborne  Gisborne,162E Matokitoki Valley Road,Gisborne,,,"$4,000.00 ",new yunca logfire
188,Gisborne,Gisborne,15-Apr-16,166862,130 Stout Street Gisborne  Gisborne,130 Stout Street,Gisborne,,,"$3,000.00 ",new kent logfire
189,Gisborne,Gisborne,18-Apr-16,16873,2302 Wharerata Road Barletts  Gisborne,2302 Wharerata Road,Barletts,,,"$3,500.00 ",new metro logfire
190,Gisborne,Gisborne,18-Apr-16,16867,10 Tuamotu  Park Gisborne  Gisborne,10 Tuamotu  Park,Gisborne,,,"$3,000.00 ",new  woodsman logfire
