,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
4,Gisborne,Gisborne,06-Jan-17,17486,1773 Waikura Road Gisborne ,1773 Waikura Road,Gisborne,,,," $6,500.00 ",logfire
5,Gisborne,Gisborne,06-Jan-17,17484,1115 Waikura Road Gisborne ,1115 Waikura Road,Gisborne,,,," $6,500.00 ",logfire
6,Gisborne,Gisborne,06-Jan-17,17485,1904 Waikura Road Gisborne ,1904 Waikura Road,Gisborne,,,," $6,500.00 ",logfire
10,Gisborne,Gisborne,11-Jan-17,17489,1 Howarth Street Gisborne ,1 Howarth Street,Gisborne,,,," $4,100.00 ",logfire
24,Gisborne,Gisborne,23-Jan-17,17504,41 Totara Street Gisborne ,41 Totara Street,Gisborne,,,," $4,500.00 ",logfire
29,Gisborne,Gisborne,25-Jan-17,17515,264 Ruakaka Road Tiniroto ,264 Ruakaka Road,Tiniroto,,,," $3,500.00 ",logfire
34,Gisborne,Gisborne,27-Jan-17,17510,6 Waverley Street Gisborne ,6 Waverley Street,Gisborne,,,," $6,500.00 ",logfire
39,Gisborne,Gisborne,01-Feb-17,17535,63 Endcliffe Road  ,63 Endcliffe Road,,,,," $5,000.00 ",woodfire
48,Gisborne,Gisborne,03-Feb-17,17532,568 Lavenham Road  ,568 Lavenham Road,,,,," $4,500.00 ",woodfire
49,Gisborne,Gisborne,03-Feb-17,17539,39 Somerton Road  ,39 Somerton Road,,,,," $4,000.00 ",woodfire
50,Gisborne,Gisborne,03-Feb-17,17540,39 Somerton Road  ,39 Somerton Road,,,,," $2,000.00 ",woodfire
57,Gisborne,Gisborne,08-Feb-17,17543,322 Waingake Road  ,322 Waingake Road,,,,," $5,600.00 ",woodfire
83,Gisborne,Gisborne,23-Feb-17,17576,227 Christopher Road  ,227 Christopher Road,,,,," $5,000.00 ",woodfire
94,Gisborne,Gisborne,02-Mar-17,17600,1294 Motu Road  ,1294 Motu Road,,,,," $8,000.00 ",logfire
95,Gisborne,Gisborne,02-Mar-17,17598,6 Parau Street  ,6 Parau Street,,,,," $7,500.00 ",logfire
96,Gisborne,Gisborne,02-Mar-17,17599,1673 Tiniroto Road  ,1673 Tiniroto Road,,,,," $7,000.00 ",logfire
97,Gisborne,Gisborne,02-Mar-17,17597,13 Herbert Road  ,13 Herbert Road,,,,," $5,500.00 ",logfire
107,Gisborne,Gisborne,07-Mar-17,17606,43 Potae Avenue  ,43 Potae Avenue,,,,," $4,000.00 ",logfire
112,Gisborne,Gisborne,08-Mar-17,17610,10 Marian Drive  ,10 Marian Drive,,,,," $3,900.00 ",logfire
113,Gisborne,Gisborne,08-Mar-17,17612,42 Wharekopae Road  ,42 Wharekopae Road,,,,," $3,000.00 ",logfire
119,Gisborne,Gisborne,10-Mar-17,17624,5125 Tauwhareparae Road  ,5125 Tauwhareparae Road,,,,," $5,200.00 ",logfire
120,Gisborne,Gisborne,10-Mar-17,17625,5125 Tauwhareparae Road- Shepherds Quarters  ,5125 Tauwhareparae Road- Shepherds Quarters,,,,," $4,000.00 ",logfire
126,Gisborne,Gisborne,13-Mar-17,17631,216 Phillips Road  ,216 Phillips Road,,,,," $4,200.00 ",logfire
127,Gisborne,Gisborne,13-Mar-17,17630,600 Motu Falls Road  ,600 Motu Falls Road,,,,," $4,200.00 ",logfire
128,Gisborne,Gisborne,13-Mar-17,17635,91 Waimata Valley Road  ,91 Waimata Valley Road,,,,," $4,200.00 ",logfire
129,Gisborne,Gisborne,13-Mar-17,17632,43 Omapere Road  ,43 Omapere Road,,,,," $4,200.00 ",logfire
130,Gisborne,Gisborne,13-Mar-17,17634,79A Te Kowhai Road - Cottage  ,79A Te Kowhai Road - Cottage,,,,," $4,200.00 ",logfire
131,Gisborne,Gisborne,13-Mar-17,17633,79A Te Kowhai Road  ,79A Te Kowhai Road,,,,," $4,200.00 ",logfire
135,Gisborne,Gisborne,14-Mar-17,17627,218 Harris Street  ,218 Harris Street,,,,," $5,000.00 ",logfire
137,Gisborne,Gisborne,14-Mar-17,17646,50A Whareponga Road  ,50A Whareponga Road,,,,," $1,500.00 ",logfire
140,Gisborne,Gisborne,15-Mar-17,17645,30 Parau Street  ,30 Parau Street,,,,," $7,000.00 ",logfire
141,Gisborne,Gisborne,15-Mar-17,17644,110 Glenelg Road  ,110 Glenelg Road,,,,," $7,000.00 ",logfire
142,Gisborne,Gisborne,15-Mar-17,17641,2 Kate Wyllie Place  ,2 Kate Wyllie Place,,,,," $4,000.00 ",logfire
143,Gisborne,Gisborne,15-Mar-17,17642,20 Elm Street  ,20 Elm Street,,,,," $1,000.00 ",logfire
149,Gisborne,Gisborne,21-Mar-17,17619,189 Matawai Road  ,189 Matawai Road,,,,," $19,000.00 ",logfire
155,Gisborne,Gisborne,22-Mar-17,17659,57 Stafford Street  ,57 Stafford Street,,,,," $6,000.00 ",logfire
159,Gisborne,Gisborne,27-Mar-17,17657,18 Puia Street  ,18 Puia Street,,,,," $3,000.00 ",logfire
160,Gisborne,Gisborne,27-Mar-17,17660,4799 Waiapu Road  ,4799 Waiapu Road,,,,," $3,000.00 ",logfire
161,Gisborne,Gisborne,27-Mar-17,17658,18B Puia Street  ,18B Puia Street,,,,," $3,000.00 ",logfire
169,Gisborne,Gisborne,29-Mar-17,17675,43 Moana Road  ,43 Moana Road,,,,," $8,000.00 ",logfire
171,Gisborne,Gisborne,29-Mar-17,17673,136 Main Road  ,136 Main Road,,,,," $7,500.00 ",logfire
172,Gisborne,Gisborne,29-Mar-17,17669,24 Tuamotu Park  ,24 Tuamotu Park,,,,," $6,500.00 ",logfire
173,Gisborne,Gisborne,29-Mar-17,17670,21 Seymour Road  ,21 Seymour Road,,,,," $6,000.00 ",logfire
174,Gisborne,Gisborne,29-Mar-17,17671,101 Russell Road  ,101 Russell Road,,,,," $6,000.00 ",logfire
175,Gisborne,Gisborne,29-Mar-17,17674,57 Sunvale Crescent  ,57 Sunvale Crescent,,,,," $6,000.00 ",logfire
178,Gisborne,Gisborne,30-Mar-17,17679,17 Ropata Street  ,17 Ropata Street,,,,," $3,000.00 ",logfire
182,Gisborne,Gisborne,31-Mar-17,17682,1 Oak Street  ,1 Oak Street,,,,," $3,400.00 ",logfire
184,Gisborne,Gisborne,03-Apr-17,17688,5757 Back Ormond Road Gisborne ,5757 Back Ormond Road,Gisborne,,,," $7,800.00 ",woodburner
185,Gisborne,Gisborne,03-Apr-17,17689,447 Kirkpatrick Road Patutahi ,447 Kirkpatrick Road,Patutahi,,,," $7,000.00 ",woodburner
186,Gisborne,Gisborne,03-Apr-17,17687,47 Ormond Road Gisborne ,47 Ormond Road,Gisborne,,,," $5,500.00 ",woodburner
187,Gisborne,Gisborne,03-Apr-17,17690,24 Stanley Road Gisborne ,24 Stanley Road,Gisborne,,,," $3,000.00 ",woodburner
188,Gisborne,Gisborne,03-Apr-17,17686,20 Richardson Avenue Gisborne ,20 Richardson Avenue,Gisborne,,,, $600.00 ,woodburner
193,Gisborne,Gisborne,05-Apr-17,17696,33 Adair Street Gisborne ,33 Adair Street,Gisborne,,,," $7,000.00 ",woodburner
194,Gisborne,Gisborne,05-Apr-17,17694,939 Taumata Road Gisborne ,939 Taumata Road,Gisborne,,,," $7,000.00 ",woodburner
195,Gisborne,Gisborne,05-Apr-17,17699,726 Aberdeen Road Gisborne ,726 Aberdeen Road,Gisborne,,,," $7,000.00 ",woodburner
198,Gisborne,Gisborne,05-Apr-17,17701,44A Oswald Street Gisborne ,44A Oswald Street,Gisborne,,,," $3,100.00 ",woodburner
203,Gisborne,Gisborne,06-Apr-17,17708,1804 Moanui Road Whatatutu ,1804 Moanui Road,Whatatutu,,,," $4,000.00 ",woodburner
214,Gisborne,Gisborne,12-Apr-17,17710,26 Steed Avenue Gisborne ,26 Steed Avenue,Gisborne,,,," $4,000.00 ",woodburner
218,Gisborne,Gisborne,19-Apr-17,17716,264 Clifford Street Gisborne ,264 Clifford Street,Gisborne,,,," $3,500.00 ",woodburner
