,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
81,Auckland,Auckland,12-Jan-18,ABCO10259629,24 Endeavour Street Blockhouse Bay Auckland    0600  Auckland,24 Endeavour Street Blockhouse Bay Auckland    0600,,,,Lot 20 DP 41422,,$900.00 ,install new wood fire with eco flue to replace existing
90,Auckland,Auckland,13-Jan-18,ABCO10259718,19 Hukanui Crescent Ponsonby Auckland    1021  Auckland,19 Hukanui Crescent Ponsonby Auckland    1021,,,,Lot 8 DP 38075,,"$3,000.00 ",install new freestanding solid fuel wood burner
105,Auckland,Auckland,16-Jan-18,ABCO10255775,64 Bay Road St Heliers Auckland,64 Bay Road,St Heliers,1071,,Pt Lot 21 DP 19152,,"$950,000.00 ","rbw - demolish existing home. construct new double storey, four bedroom dwelling with internal access double garage, in-ground concrete swimming pool and free-standing solid fuel heater"
171,Auckland,Auckland,19-Jan-18,ABCO10254478,54B Challenger Street St Heliers Auckland,54B Challenger Street,St Heliers,1071,,"1/3 SH Pt Lot 1 DP 25534, Flat 3 DP 68857",,"$4,000.00 ",install freestanding woodfire and flue
257,Auckland,Auckland,26-Jan-18,ABCO10174479-2,18 Victoria Road North Waiheke Island Auckland Auckland,18 Victoria Road North,Waiheke Island Auckland,1081,,Lot 1 DP 205156,,"$380,000.00 ","stage 2 - rbw - new double storey, three bedroom dwelling with garage, waste water system and solid fuel heater."
362,Auckland,Auckland,5-Feb-18,ABCO10260736,46 Torrington Crescent Glen Innes Auckland,46 Torrington Crescent,Glen Innes,1072,,Lot 260 DP 43736,,"$5,500.00 ",sfh - replacement of existing insert solid fuel heater with new masport le 4000 insert solid fuel heater.
434,Auckland,Auckland,12-Feb-18,ABCO10258259,1 Glendon Avenue Avondale Auckland,1 Glendon Avenue,Avondale,1026,,Lot 13 DP 19735,,"$150,000.00 ","rbw - removal of existing lean. addition, and alteration to single storey dwelling to include new bedroom, study room, living, dining, 2 bathroom/ensuite, relocation of kitchen, solid fuel heater, deck, new joinery, and new roof"
442,Auckland,Auckland,12-Feb-18,ABCO10261505,81 Marine Parade Herne Bay Auckland,81 Marine Parade,Herne Bay,1011,,DP 2613,,"$3,800.00 ",installation of solid wood burner
487,Auckland,Auckland,15-Feb-18,ABCO10256172,38 Nikau Road Waiheke Island Auckland,38 Nikau Road,Waiheke Island,1081,,Lot 416 DP 29172,,"$380,000.00 ","rbw - new single level, timber framed dwelling with two living areas, three bedrooms, two bathrooms and free-standing wood burner"
590,Auckland,Auckland,21-Feb-18,ABCO10261571,9 Cape Barrier Road Great Barrier Island Auckland,9 Cape Barrier Road,Great Barrier Island,991,,"Pt Lot 3 DP 26026, SEC 4 SO 70746",,"$2,000.00 ",replace existing fireplace with new wood fire  including wetback
