,region,council,date_issued,council_ref,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
125,Canterbury,Ashburton,04-Jan-19,AbBC0651/18,154 Forest Drive,,Methven,  ,,,175000,"addition, new logfire and reclad of existing house"
133,Canterbury,Ashburton,14-Jan-19,AbBC0505/18,136 Tarbottons Road,,Ashburton,  ,,,482000,new single level dwelling with logfire & attached garage
135,Canterbury,Ashburton,16-Jan-19,AbBC0708/18,356 Beach Road East,,Ashburton,  ,,,4700,install a yunca xander insert logfire
137,Canterbury,Ashburton,17-Jan-19,AbBC0002/19,36 Bathurst Street,,Ashburton,  ,,,4500,"install inbuilt masport le4000 logfire
emailed app + fees submitted 27/12/2018"
142,Canterbury,Ashburton,18-Jan-19,AbBC1222/17,104 Elizabeth Street,,Ashburton,  ,,,32000,"alterations to a dwelling to install a fs metro wee rad logfire with wetback
*note transfer from bc1160/17"
143,Canterbury,Ashburton,18-Jan-19,AbBC0691/18,48 Mitcham Road,,Ashburton,  ,,,180000,alter/add to existing dwelling and reinstall existing logfire
153,Canterbury,Ashburton,25-Jan-19,AbBC0020/19,103 Ealing Road,,Ealing,  ,,,2780,install a f/s woodsman ecr novo logfire
154,Canterbury,Ashburton,25-Jan-19,AbBC0017/19,1 Wayne Place,,Methven,  ,,,3680,install a f/s masport r3000 logfire.
156,Canterbury,Ashburton,25-Jan-19,AbBC0019/19,169 Smithfield Road,,Ashburton,  ,,,6500,install a f/s ferva saturn logfire.
159,Canterbury,Ashburton,28-Jan-19,AbBC0665/18,1732 Seafield Road,,Ashburton,  ,,,460000,"single level 4 bdrm dwelling with attached garage & logfire, and new pole shed"
162,Canterbury,Ashburton,01-Feb-19,AbBC0034/19,92 Forest Drive,,Methven,  ,,,3241,install a f/s masport r3000 logburner
163,Canterbury,Ashburton,01-Feb-19,AbBC0029/19,75 David Street HINDS,,Ashburton,  ,,,3909,install a f/s jayline fr300 logburner
164,Canterbury,Ashburton,01-Feb-19,AbBC0021/19,485 Longbeach Road,,Ashburton,  ,,,4205,install an inbuilt masport 12000 bannockburn logfire.
165,Canterbury,Ashburton,01-Feb-19,AbBC0023/19,452 Methven Chertsey Road,,Ashburton,  ,,,4897,install a f/s masport r5000  rural ((wet) logfire.
166,Canterbury,Ashburton,01-Feb-19,AbBC0028/19,153 Seafield Road,,Ashburton,  ,,,6804,install a f/s  blaze king sirocco logburner
178,Canterbury,Ashburton,14-Feb-19,AbBC0672/18,868 Boltons Road,,Ashburton,  ,,,499999,alter & extend existing dwelling and install a new logfire & new attached garage
180,Canterbury,Ashburton,18-Feb-19,AbBC0049/19,47 Johnstone Street,,Ashburton,  ,,,3500,install a f/s metro wee rad ultra logfire
181,Canterbury,Ashburton,18-Feb-19,AbBC0044/19,34 Dowdings Road,,Ashburton,  ,,,4782,install a f/s metro xtreme rad logburner
182,Canterbury,Ashburton,18-Feb-19,AbBC0057/19,23 Woodham Drive,,Ashburton,  ,,,5000,install a f/s tropicair duo logburner on wetback
186,Canterbury,Ashburton,21-Feb-19,AbBC0668/18,199 Urrall Road,,Ashburton,  ,,,413000,single level four bedroom dwelling with logfire & attached garage - managers /dwelling
187,Canterbury,Ashburton,26-Feb-19,AbBC0063/19,74 Nursery Drive,,Tinwald,  ,,,6997,install a f/s blaze king sirocco logburner
189,Canterbury,Ashburton,27-Feb-19,AbBC0071/19,2 Reddecliffe Crescent,,Ashburton,  ,,,3409,install a f/s metro wee rad ultra logburner
192,Canterbury,Ashburton,28-Feb-19,AbBC0024/19,1428 Kyle Road,,Ashburton,  ,,,398000,three bedroom workers dwelling with logfire
196,Canterbury,Ashburton,04-Mar-19,AbBC0065/19,149 Michael Street,,Rakaia,  ,,,7000,install a f/s woodsman tarras mkiii logfire
199,Canterbury,Ashburton,08-Mar-19,AbBC0051/19,224 Hendersons Road,,Tinwald,  ,,,650000,"single level 4 bdrm dwelling, logfire & attached pole shed garage plus separate garage"
200,Canterbury,Ashburton,11-Mar-19,AbBC0077/19,13 Allison Street,,Ashburton,  ,,,4364,install a f/s metro wee rad ultra logburner
202,Canterbury,Ashburton,11-Mar-19,AbBC0035/19,79 Wilkins Road,,Ashburton,  ,,,450000,single level dwelling with logfire & attached garage plus separate garage
207,Canterbury,Ashburton,14-Mar-19,AbBC0087/19,148 Mcmurdo Street,,Tinwald,  ,,,6999,install a f/s woodsman ferva saturn logburner
211,Canterbury,Ashburton,20-Mar-19,AbBC0092/19,14 Mayfield Klondyke Road,,Ashburton,  ,,,4087,install a f/s masport heartland logburner
212,Canterbury,Ashburton,20-Mar-19,AbBC0093/19,214 Lills Road,,Ashburton,  ,,,4636,install a f/s masport r5000 rural logburner
216,Canterbury,Ashburton,25-Mar-19,AbBC0100/19,1001 Fords Road,,Ashburton,  ,,,3200,install a f/s kent haast wood fire logburner
221,Canterbury,Ashburton,27-Mar-19,AbBC0133/19,28 Chapman Street,,Methven,  ,,,2199,install a f/s masport wanaka logburner
222,Canterbury,Ashburton,27-Mar-19,AbBC0131/19,12 Belt Road,,Ashburton,  ,,,3500,install a fs metro wee rad ultra logburner
223,Canterbury,Ashburton,27-Mar-19,AbBC0107/19,19 Harrison Street,,Ashburton,  ,,,4000,install a f/s metro wee rad ultra logburner
225,Canterbury,Ashburton,27-Mar-19,AbBC0120/19,339 Stranges Road,,Ashburton,  ,,,4300,inbuilt masport i2000 logfire
226,Canterbury,Ashburton,27-Mar-19,AbBC0130/19,155 Kermode Street,,Ashburton,  ,,,4900,install a fs jayline ul200 logburner
227,Canterbury,Ashburton,27-Mar-19,AbBC0124/19,34 Alington Street,,Methven,  ,,,5500,install a f/s lady kitchener ag10 on wetback log fire
230,Canterbury,Ashburton,27-Mar-19,AbBC0108/19,326 Wakanui School Road,,Ashburton,  ,,,7674,install a f/s blaze king sirocco logburner
241,Canterbury,Ashburton,03-Apr-19,AbBC0110/19,80 Rakaia River Road,,Rakaia,  ,,,5000,log fire
242,Canterbury,Ashburton,04-Apr-19,AbBC0144/19,1001 Jamiesons Road,,Ashburton,  ,,,4600,log fire
243,Canterbury,Ashburton,04-Apr-19,AbBC0151/19,662 Beach Road East,,Ashburton,  ,,,4300,log fire
244,Canterbury,Ashburton,04-Apr-19,AbBC0153/19,607 Methven Highway,,Ashburton,  ,,,4950,log fire
245,Canterbury,Ashburton,04-Apr-19,AbBC0147/19,83 Company Road,,Ashburton,  ,,,7618,log fire
246,Canterbury,Ashburton,04-Apr-19,AbBC0155/19,117 Thomson Street,,Tinwald,  ,,,8400,log fire
