,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
2,Canterbury,Ashburton,7-Jan-20,AbBC0584/19,600 Swamp Road,,Ashburton,600 Swamp Road  Ashburton,  ,,,150000,"remove part of existing roof and replace withttrusses. new logfire, ensuite & wir alteration"
6,Canterbury,Ashburton,8-Jan-20,AbBC0648/19,15 Methven Chertsey Road,,Ashburton,15 Methven Chertsey Road  Ashburton,  ,,,7500,install a f/s woodsman tasman mkii logfire on existing wetback
15,Canterbury,Ashburton,17-Jan-20,AbBC0632/19,10 Murneys Lane,,Ashburton,10 Murneys Lane  Ashburton,  ,,,505000,single level dwelling with logburner
23,Canterbury,Ashburton,22-Jan-20,AbBC0628/19,22 Memorial Crescent,,Ashburton,22 Memorial Crescent  Ashburton,  ,,,437800,single level dwelling with logfire & attached garage
24,Canterbury,Ashburton,22-Jan-20,AbBC0626/19,408 Simpsons Road,,Ashburton,408 Simpsons Road  Ashburton,  ,,,450000,single level dwelling with logfire & attached garage
31,Canterbury,Ashburton,28-Jan-20,AbBC0003/20,45 Mt Harper Street,,Ashburton,45 Mt Harper Street  Ashburton,  ,,,5000,heating unit - f/s woodsman rmf multifuel logburner
44,Canterbury,Ashburton,11-Feb-20,AbBC0039/20,42 Bridge Street,,Ashburton,42 Bridge Street  Ashburton,  ,,,6000,install a f/s woodsman serene logfire
45,Canterbury,Ashburton,11-Feb-20,AbBC0020/20,227 Racecourse Road,,Ashburton,227 Racecourse Road  Ashburton,  ,,,7000,install a f/s woodsman serene logfire
48,Canterbury,Ashburton,11-Feb-20,AbBC0646/19,247 Hardys Road,,Rakaia,247 Hardys Road  Rakaia,  ,,,715000,single level dwelling with logfire x 2 & attached garage existing dwelling to be removed
50,Canterbury,Ashburton,12-Feb-20,AbBC0051/20,50 Barkers Road,,Methven,50 Barkers Road  Methven,  ,,,4700,install a f/s masport r10000 logfire
54,Canterbury,Ashburton,13-Feb-20,AbBC0042/20,182 Hardys Road,,Rakaia,182 Hardys Road  Rakaia,  ,,,2200,heating unit - f/s metro wee rad logburner
55,Canterbury,Ashburton,13-Feb-20,AbBC0043/20,30 Oxford Street,,Ashburton,30 Oxford Street  Ashburton,  ,,,4000,heating unit - f/s metro wee rad ultra logfire
